"from","to"
"FloridaState","Iowa"
"KansasState","NewMexico"
"FloridaState","TexasTech"
"TexasTech","PennState"
"NewMexico","PennState"
"KansasState","SouthernCalifornia"
"SouthernCalifornia","ArizonaState"
"ArizonaState","SanDiegoState"
"SanDiegoState","Baylor"
"FloridaState","Baylor"
"TexasTech","Baylor"
"PennState","NorthTexas"
"NorthTexas","NorthernIllinois"
"PennState","NorthernIllinois"
"NewMexico","NorthernIllinois"
"Northwestern","WesternMichigan"
"KansasState","WesternMichigan"
"KansasState","Wisconsin"
"Northwestern","Wisconsin"
"Wisconsin","Wyoming"
"WesternMichigan","Wyoming"
"KansasState","Wyoming"
"TexasTech","Auburn"
"Baylor","Auburn"
"FloridaState","Auburn"
"Auburn","Akron"
"Northwestern","Akron"
"Northwestern","VirginiaTech"
"VirginiaTech","Alabama"
"Akron","UCLA"
"UCLA","Arizona"
"SanDiegoState","Arizona"
"ArizonaState","Arizona"
"Baylor","Utah"
"ArizonaState","Utah"
"Arizona","Utah"
"SanDiegoState","Utah"
"Utah","ArkansasState"
"Baylor","ArkansasState"
"TexasTech","ArkansasState"
"Auburn","ArkansasState"
"FloridaState","ArkansasState"
"NorthernIllinois","NorthCarolinaState"
"NorthCarolinaState","BallState"
"Iowa","BallState"
"NewMexico","Florida"
"Northwestern","Florida"
"Wisconsin","Florida"
"Florida","BoiseState"
"Akron","BoiseState"
"Iowa","BoiseState"
"TexasTech","BostonCollege"
"NorthernIllinois","BostonCollege"
"NorthCarolinaState","BostonCollege"
"Alabama","WestVirginia"
"WestVirginia","BowlingGreenState"
"Alabama","BowlingGreenState"
"VirginiaTech","Michigan"
"Michigan","Virginia"
"Arizona","Virginia"
"Wyoming","Virginia"
"WesternMichigan","Virginia"
"SouthernCalifornia","Virginia"
"FloridaState","Buffalo"
"Iowa","Buffalo"
"BallState","Buffalo"
"Alabama","Buffalo"
"Michigan","Syracuse"
"Florida","Syracuse"
"Northwestern","Syracuse"
"VirginiaTech","Syracuse"
"Syracuse","CentralFlorida"
"FloridaState","CentralFlorida"
"WestVirginia","CentralFlorida"
"Alabama","CentralFlorida"
"BowlingGreenState","CentralFlorida"
"VirginiaTech","GeorgiaTech"
"Northwestern","GeorgiaTech"
"UCLA","GeorgiaTech"
"Alabama","GeorgiaTech"
"GeorgiaTech","CentralMichigan"
"Iowa","CentralMichigan"
"BallState","CentralMichigan"
"Buffalo","CentralMichigan"
"VirginiaTech","Purdue"
"Auburn","Purdue"
"BostonCollege","Purdue"
"Florida","Purdue"
"Wisconsin","Purdue"
"Northwestern","Purdue"
"Purdue","Colorado"
"SouthernCalifornia","Colorado"
"Virginia","Colorado"
"WesternMichigan","Colorado"
"Wyoming","Colorado"
"ArizonaState","ColoradoState"
"NewMexico","ColoradoState"
"ColoradoState","Connecticut"
"SanDiegoState","Connecticut"
"TexasTech","Connecticut"
"ArkansasState","Connecticut"
"Baylor","Connecticut"
"FloridaState","Connecticut"
"Auburn","Connecticut"
"Syracuse","EasternMichigan"
"WestVirginia","EasternMichigan"
"VirginiaTech","EasternMichigan"
"Florida","EasternMichigan"
"EasternMichigan","EastCarolina"
"GeorgiaTech","EastCarolina"
"Florida","EastCarolina"
"Michigan","EastCarolina"
"Purdue","EastCarolina"
"Northwestern","EastCarolina"
"Wisconsin","EastCarolina"
"Alabama","Duke"
"CentralFlorida","Duke"
"BowlingGreenState","Duke"
"Duke","FresnoState"
"WesternMichigan","FresnoState"
"Buffalo","FresnoState"
"Iowa","FresnoState"
"CentralMichigan","FresnoState"
"BallState","FresnoState"
"Arizona","OhioState"
"OhioState","Houston"
