"name","birth","nationality"
"Philips Galle",1537,"Flemish"
"Jan van der Straet",1523,"Flemish"
"Raphael Sadeler I",1560,"Flemish"
"Maerten de Vos",1532,"Flemish"
"Albrecht Dürer",1471,"German"
"Johannes Wierix",1539,"Flemish"
"Jan van de Velde II",1593,"Dutch"
"Joannes Galle",1600,"Flemish"
"Claes Jansz. Visscher",1587,"Dutch"
"Hendrik Hondius I",1573,"Dutch"
"Theodoor Galle",1571,"Flemish"
"Jan Harmensz. Muller",1571,"Dutch"
"Simon Frisius",1580,"Dutch"
"Hendrik Goltzius",1558,"Dutch"
"Crispijn de Passe the Elder",1564,"Flemish"
"Johann Theodor de Bry",1561,"Flemish"
"Johann Israel de Bry",1565,"Flemish"
"Antonius Wierix",1555,"Flemish"
"Balthasar Moncornet",1600,"French"
"Hieronymus Wierix",1553,"Flemish"
"Polidoro da Caravaggio",1500,"Italian"
"Abraham Bloemaert",1564,"Dutch"
"Jacob Matham",1571,"Dutch"
"Cornelis Cornelisz. van Haarlem",1562,"Dutch"
"Jan Saenredam",1565,"Dutch"
"Frans Hogenberg",1539,"Flemish"
"Karel van Mander I",1548,"Dutch"
"Maarten van Heemskerck",1498,"Dutch"
"Abraham Hogenberg",1590,"German"
"Bernardino Passeri",NA,"Italian"
"Jan Sadeler I",1550,"Flemish"
"Cornelis Galle I",1576,"Flemish"
"Robert de Boudous",1505,"Dutch"
"Jacob de Gheyn II",1565,"Dutch"
"Simon van de Passe",1595,"Dutch"
"Theodoor de Bry",1528,"Flemish"
"Adriaen Collaert",1560,"Flemish"
"Nicolaas de Bruyn",1571,"Dutch"
"Johannes Janssonius",1588,"Dutch"
"Ahasuerus van Londerseel",1572,"Dutch"
"Dirck Barendsz.",1534,"Dutch"
"Giuseppe Cesari d'Arpino",1568,"Italian"
"Bartholomeus Spranger",1546,"Dutch"
"Zacharias Dolendo",1561,"Dutch"
"Anthonie Blocklandt van Montfoort",1504,"Dutch"
"Christoffel van Sichem I",1546,"Flemish"
"Christophe Plantin",1514,"Flemish"
"Cornelis Drebbel",1572,"Dutch"
"Christoffel van Sichem II",1581,"Flemish"
