"name","birth"
"Philips Galle",1537
"Jan van der Straet",1523
"Raphael Sadeler I",1560
"Maerten de Vos",1532
"Albrecht Dürer",1471
"Johannes Wierix",1539
"Jan van de Velde II",1593
"Joannes Galle",1600
"Claes Jansz. Visscher",1587
"Hendrik Hondius I",1573
"Theodoor Galle",1571
"Jan Harmensz. Muller",1571
"Simon Frisius",1580
"Hendrik Goltzius",1558
"Crispijn de Passe the Elder",1564
"Johann Theodor de Bry",1561
"Johann Israel de Bry",1565
"Antonius Wierix",1555
"Balthasar Moncornet",1600
"Hieronymus Wierix",1553
"Polidoro da Caravaggio",1500
"Abraham Bloemaert",1564
"Jacob Matham",1571
"Cornelis Cornelisz. van Haarlem",1562
"Jan Saenredam",1565
"Frans Hogenberg",1539
"Karel van Mander I",1548
"Maarten van Heemskerck",1498
"Abraham Hogenberg",1590
"Bernardino Passeri",NA
"Jan Sadeler I",1550
"Cornelis Galle I",1576
"Robert de Boudous",1505
"Jacob de Gheyn II",1565
"Simon van de Passe",1595
"Theodoor de Bry",1528
"Adriaen Collaert",1560
"Nicolaas de Bruyn",1571
"Johannes Janssonius",1588
"Ahasuerus van Londerseel",1572
"Dirck Barendsz.",1534
"Giuseppe Cesari d'Arpino",1568
"Bartholomeus Spranger",1546
"Zacharias Dolendo",1561
"Anthonie Blocklandt van Montfoort",1504
"Christoffel van Sichem I",1546
"Christophe Plantin",1514
"Cornelis Drebbel",1572
"Christoffel van Sichem II",1581
